GEO_ID,NAME,S0502_C01_001E,S0502_C01_001M,S0502_C01_002E,S0502_C01_002M,S0502_C01_003E,S0502_C01_003M,S0502_C01_004E,S0502_C01_004M,S0502_C01_005E,S0502_C01_005M,S0502_C01_006E,S0502_C01_006M,S0502_C01_007E,S0502_C01_007M,S0502_C01_008E,S0502_C01_008M,S0502_C01_009E,S0502_C01_009M,S0502_C01_010E,S0502_C01_010M,S0502_C01_011E,S0502_C01_011M,S0502_C01_012E,S0502_C01_012M,S0502_C01_013E,S0502_C01_013M,S0502_C01_014E,S0502_C01_014M,S0502_C01_015E,S0502_C01_015M,S0502_C01_016E,S0502_C01_016M,S0502_C01_017E,S0502_C01_017M,S0502_C01_018E,S0502_C01_018M,S0502_C01_019E,S0502_C01_019M,S0502_C01_020E,S0502_C01_020M,S0502_C01_021E,S0502_C01_021M,S0502_C01_022E,S0502_C01_022M,S0502_C01_022EA,S0502_C01_023E,S0502_C01_023M,S0502_C01_024E,S0502_C01_024M,S0502_C01_025E,S0502_C01_025M,S0502_C01_026E,S0502_C01_026M,S0502_C01_027E,S0502_C01_027M,S0502_C01_028E,S0502_C01_028M,S0502_C01_029E,S0502_C01_029M,S0502_C01_030E,S0502_C01_030M,S0502_C01_031E,S0502_C01_031M,S0502_C01_032E,S0502_C01_032M,S0502_C01_033E,S0502_C01_033M,S0502_C01_034E,S0502_C01_034M,S0502_C01_035E,S0502_C01_035M,S0502_C01_036E,S0502_C01_036M,S0502_C01_037E,S0502_C01_037M,S0502_C01_038E,S0502_C01_038M,S0502_C01_039E,S0502_C01_039M,S0502_C01_040E,S0502_C01_040M,S0502_C01_041E,S0502_C01_041M,S0502_C01_042E,S0502_C01_042M,S0502_C01_043E,S0502_C01_043M,S0502_C01_044E,S0502_C01_044M,S0502_C01_045E,S0502_C01_045M,S0502_C01_046E,S0502_C01_046M,S0502_C01_047E,S0502_C01_047M,S0502_C01_048E,S0502_C01_048M,S0502_C01_048EA,S0502_C01_049E,S0502_C01_049M,S0502_C01_050E,S0502_C01_050M,S0502_C01_051E,S0502_C01_051M,S0502_C01_052E,S0502_C01_052M,S0502_C01_053E,S0502_C01_053M,S0502_C01_054E,S0502_C01_054M,S0502_C01_055E,S0502_C01_055M,S0502_C01_056E,S0502_C01_056M,S0502_C01_057E,S0502_C01_057M,S0502_C01_058E,S0502_C01_058M,S0502_C01_059E,S0502_C01_059M,S0502_C01_060E,S0502_C01_060M,S0502_C01_061E,S0502_C01_061M,S0502_C01_062E,S0502_C01_062M,S0502_C01_063E,S0502_C01_063M,S0502_C01_064E,S0502_C01_064M,S0502_C01_065E,S0502_C01_065M,S0502_C01_066E,S0502_C01_066M,S0502_C01_067E,S0502_C01_067M,S0502_C01_068E,S0502_C01_068M,S0502_C01_069E,S0502_C01_069M,S0502_C01_070E,S0502_C01_070M,S0502_C01_071E,S0502_C01_071M,S0502_C01_072E,S0502_C01_072M,S0502_C01_073E,S0502_C01_073M,S0502_C01_074E,S0502_C01_074M,S0502_C01_075E,S0502_C01_075M,S0502_C01_076E,S0502_C01_076M,S0502_C01_077E,S0502_C01_077M,S0502_C01_078E,S0502_C01_078M,S0502_C01_079E,S0502_C01_079M,S0502_C01_080E,S0502_C01_080M,S0502_C01_081E,S0502_C01_081M,S0502_C01_082E,S0502_C01_082M,S0502_C01_083E,S0502_C01_083M,S0502_C01_084E,S0502_C01_084M,S0502_C01_085E,S0502_C01_085M,S0502_C01_086E,S0502_C01_086M,S0502_C01_087E,S0502_C01_087M,S0502_C01_088E,S0502_C01_088M,S0502_C01_089E,S0502_C01_089M,S0502_C01_090E,S0502_C01_090M,S0502_C01_091E,S0502_C01_091M,S0502_C01_092E,S0502_C01_092M,S0502_C01_093E,S0502_C01_093M,S0502_C01_094E,S0502_C01_094M,S0502_C01_095E,S0502_C01_095M,S0502_C01_096E,S0502_C01_096M,S0502_C01_097E,S0502_C01_097M,S0502_C01_098E,S0502_C01_098M,S0502_C01_099E,S0502_C01_099M,S0502_C01_100E,S0502_C01_100M,S0502_C01_101E,S0502_C01_101M,S0502_C01_102E,S0502_C01_102M,S0502_C01_103E,S0502_C01_103M,S0502_C01_104E,S0502_C01_104M,S0502_C01_105E,S0502_C01_105M,S0502_C01_106E,S0502_C01_106M,S0502_C01_107E,S0502_C01_107M,S0502_C01_108E,S0502_C01_108M,S0502_C01_109E,S0502_C01_109M,S0502_C01_110E,S0502_C01_110M,S0502_C01_111E,S0502_C01_111M,S0502_C01_112E,S0502_C01_112M,S0502_C01_113E,S0502_C01_113M,S0502_C01_114E,S0502_C01_114M,S0502_C01_115E,S0502_C01_115M,S0502_C01_116E,S0502_C01_116M,S0502_C01_117E,S0502_C01_117M,S0502_C01_118E,S0502_C01_118M,S0502_C01_119E,S0502_C01_119M,S0502_C01_120E,S0502_C01_120M,S0502_C01_121E,S0502_C01_121M,S0502_C01_122E,S0502_C01_122M,S0502_C01_123E,S0502_C01_123M,S0502_C01_124E,S0502_C01_124M,S0502_C01_125E,S0502_C01_125M,S0502_C01_126E,S0502_C01_126M,S0502_C01_127E,S0502_C01_127M,S0502_C01_128E,S0502_C01_128M,S0502_C01_129E,S0502_C01_129M,S0502_C01_130E,S0502_C01_130M,S0502_C01_131E,S0502_C01_131M,S0502_C01_132E,S0502_C01_132M,S0502_C01_133E,S0502_C01_133M,S0502_C01_134E,S0502_C01_134M,S0502_C01_135E,S0502_C01_135M,S0502_C01_136E,S0502_C01_136M,S0502_C01_137E,S0502_C01_137M,S0502_C01_138E,S0502_C01_138M,S0502_C01_139E,S0502_C01_139M,S0502_C01_140E,S0502_C01_140M,S0502_C01_141E,S0502_C01_141M,S0502_C01_142E,S0502_C01_142M,S0502_C01_143E,S0502_C01_143M,S0502_C01_144E,S0502_C01_144M,S0502_C01_145E,S0502_C01_145M,S0502_C01_146E,S0502_C01_146M
0400000US13,Georgia,1093655,11748,47,0.6,53,0.6,1093655,11748,8.5,0.3,31.1,0.4,10.2,0.5,0.3,0.1,48.1,0.5,1.7,0.1,50.1,0.3,49.9,0.3,0.7,0.1,5.8,0.3,6.8,0.2,41.1,0.4,20.9,0.3,13.8,0.3,7.1,0.2,2.8,0.1,1.1,0.1,43.1,0.3,null,90.9,0.4,30,0.5,18.2,0.6,0.9,0.1,28.6,0.4,0.2,0.1,13.1,0.4,9.1,0.4,37.3,0.4,13.5,0.4,65.9,0.7,32.7,0.7,3.31,0.03,3.77,0.03,1043378,10295,23.7,0.6,61.9,0.6,10.5,0.3,3.9,0.2,146402,4976,1.5,0.3,26.4,1.3,19.3,1,52.8,1.5,948443,8750,24,0.5,null,21.4,0.5,17.9,0.4,20.6,0.4,16.1,0.4,1086084,11610,21.1,0.5,78.9,0.5,40.8,0.5,1036738,10163,70.5,0.4,70.3,0.4,67.7,0.4,2.6,0.2,3.6,0.2,0.2,0.1,29.5,0.4,702051,8294,84.4,0.5,7.1,0.4,8.1,0.4,0.3,0.1,36.4,0.7,18.1,0.5,14.8,0.4,14.6,0.5,16.1,0.4,1.4,0.2,12.6,0.4,12.5,0.4,2.7,0.2,9.6,0.4,5.9,0.3,2.1,0.2,5,0.3,15.7,0.5,15.7,0.5,8.8,0.3,6.1,0.3,1.8,0.2,544303,7416,1.6,0.2,2.9,0.2,14.7,0.4,19.1,0.6,17.7,0.6,17.2,0.5,26.8,0.7,45805,1087,39472,950,456047,4617,90.8,0.4,95284,1274,14.5,0.4,19040,424,3,0.2,10517,821,1.7,0.2,3560,499,9.4,0.4,26580,1997,9.3,0.4,68369,1191,1.56,0.02,1077492,11663,13.3,0.5,20.3,0.7,66.4,0.8,12.9,0.6,17.2,0.9,13.4,2.2,9.4,0.7,12.2,1,9.1,2.1,28.2,1.9,37.5,2.3,32.1,7.7,456047,4617,61.3,0.7,38.7,0.7,3.41,0.04,3.15,0.04,1.7,0.2,9.7,0.5,35.1,0.7,28.4,0.6,25,0.6,5.7,0.1,7,0.4,6.2,0.3,93.8,0.3,1.4,0.2,20.3,0.5,279557,3543,76.3,0.8,23.7,0.8,176490,4058,53.2,1.1,46.8,1.1
0400000US15,Hawaii,264741,4676,59.4,1.1,40.6,1.1,264741,4676,4.7,0.3,77.3,1,0.7,0.2,10.5,0.7,4.8,0.4,1.9,0.2,42.6,0.6,57.4,0.6,0.8,0.2,4.7,0.3,5.4,0.4,28.4,0.7,18.9,0.4,17.5,0.6,13.5,0.5,7.5,0.4,3.2,0.2,50.8,0.5,null,96.3,0.4,8.9,0.4,0.8,0.2,0.2,0.1,75.3,1,9.3,0.7,1.7,0.3,3.7,0.4,4.7,0.4,7.5,0.4,65.7,1,31.6,1.1,3.52,0.05,4.07,0.06,254183,4500,20.2,0.7,61.9,0.8,9.4,0.5,8.5,0.4,28830,1493,1.7,0.6,24.4,1.9,20.2,2,53.6,2.3,235910,3992,17.2,0.7,null,26.6,0.7,27.9,0.8,19.8,0.8,8.4,0.5,262635,4589,17.6,0.7,82.4,0.7,49.1,0.9,252906,4463,63.9,0.9,62.7,0.9,59.9,0.8,2.8,0.2,4.4,0.3,1.2,0.2,36.1,0.9,151554,3515,77.6,0.8,14.5,0.7,7.7,0.5,0.2,0.1,27.4,0.9,32.9,1,21.3,0.9,8.1,0.6,10.3,0.7,2.2,0.4,5.7,0.5,3,0.4,1.9,0.3,11.9,0.7,6,0.5,0.9,0.3,5.8,0.4,10.1,0.6,20,0.8,22.2,1,5.1,0.4,5.3,0.5,112492,3350,1.9,0.4,2.5,0.4,10.9,0.7,17.2,0.8,24.5,1,20.5,1,22.6,1,50145,1596,41915,812,92674,1982,82.4,0.9,103790,2813,36.8,1,19972,515,5,0.5,9704,653,4.7,0.5,6645,804,22.6,0.9,26772,1955,13.4,0.8,81306,2080,1.74,0.04,259530,4652,10.2,0.7,13.8,0.8,76,1,8.4,0.8,10.6,1.3,11.7,4.9,5.6,0.7,5.6,1.1,5,2.7,18.7,2.8,27.2,4.3,30.1,15.7,92674,1982,57,1,43,1,3.8,0.08,3.17,0.08,7.2,0.6,22.6,1.1,39.7,1.3,18.6,1,11.9,0.7,4.4,0.1,17.1,0.9,11.9,0.8,88.1,0.8,1.4,0.4,24.8,1,52848,1366,67.1,1.6,32.9,1.6,39826,1355,51.5,2,48.5,2
0400000US16,Idaho,104356,3227,43.5,1.6,56.5,1.6,104356,3227,12.9,1.3,18.4,1,2.9,0.6,0.7,0.2,60,1.5,5.1,0.7,49.7,1,50.3,1,0.8,0.3,5.3,0.7,8,0.7,39.6,1.2,19.7,0.9,13.6,0.9,8,0.6,3.7,0.5,1.4,0.3,43.3,0.7,null,89.1,1.3,45.2,1.9,2.7,0.6,1.5,0.4,14.5,1,0.3,0.1,25,1.6,10.9,1.3,58.7,1.5,22.3,1.5,65.7,1.7,32.7,1.7,3.26,0.09,3.79,0.1,99994,2942,21.6,1.1,62.9,1.3,11.1,0.9,4.4,0.5,12565,1171,2.8,1.3,24.4,3.7,21.2,2.9,51.6,5,89641,2644,36.8,1.6,null,23.1,1.5,19.9,1.2,11.3,1,8.9,0.9,103534,3199,20.1,1.2,79.9,1.2,46.8,1.6,99343,2925,69.5,1.2,69.4,1.2,67.4,1.3,1.9,0.3,2.8,0.4,0.2,0.1,30.5,1.2,66984,2410,83.7,1.4,10.7,1.1,5.6,0.7,0,0.1,23.6,1.5,21.3,1.7,10.7,1.1,24.2,1.3,20.2,1.5,15.4,1.3,9.6,0.9,17.4,1.3,2.4,0.4,6.1,0.7,4.1,0.8,0.8,0.3,3.4,0.7,7.8,1,16.7,1.4,9,1.2,4.1,0.8,3.1,0.6,49037,1999,1.6,0.6,3.6,0.8,15.3,1.6,23.6,1.8,26.3,1.9,15.5,1.5,14,1.4,40987,1130,30967,1044,43235,1802,87.6,1.2,72748,3226,19.1,1.4,17074,903,3.8,0.7,9630,1072,3.5,0.7,1833,365,10.3,1.2,21395,3469,12.4,1.3,55440,1829,1.56,0.05,103105,3171,14.2,1.3,25.1,1.8,60.7,2.2,13.4,1.6,18.4,2.3,18.6,6.1,9.9,1.7,13.2,2.4,19.9,7.2,28.4,6.1,37.6,8.1,24.6,18.3,43235,1802,62.2,1.9,37.8,1.9,3.42,0.13,2.99,0.11,2.5,0.6,10.9,1.5,48,2.5,24.1,1.8,14.5,1.6,5.1,0.1,9.8,1.2,4.3,0.9,95.7,0.9,1.1,0.4,24.7,1.9,26877,1325,77.8,2.8,22.2,2.8,16358,1139,65.9,3.6,34.1,3.6
0400000US17,Illinois,1803334,11809,52.6,0.4,47.4,0.4,1803334,11809,20.4,0.3,30.9,0.3,4.3,0.2,0.2,0.1,43.1,0.3,1.1,0.1,49.8,0.2,50.2,0.2,0.5,0.1,3.9,0.2,5.6,0.1,37.2,0.2,20.6,0.2,15.6,0.1,10.2,0.1,4.8,0.1,1.7,0.1,46.3,0.2,null,91.4,0.3,41.8,0.4,4.5,0.2,0.7,0.1,26.9,0.3,0.1,0.1,17.5,0.3,8.6,0.3,41.5,0.3,25.7,0.3,66.7,0.5,32.2,0.5,3.12,0.02,3.64,0.02,1747618,11427,21.8,0.3,63.6,0.4,9.3,0.2,5.3,0.1,200352,4141,1.9,0.3,20.5,0.9,17.2,0.7,60.4,1.1,1623571,11263,24.6,0.3,null,23.4,0.3,17.8,0.2,19.2,0.2,15,0.3,1794148,11712,12.7,0.2,87.3,0.2,47.1,0.4,1741277,11478,67.8,0.3,67.7,0.3,64.6,0.3,3.2,0.1,4.7,0.2,0.1,0.1,32.2,0.3,1124075,9059,87.1,0.3,6.8,0.2,5.8,0.2,0.3,0.1,34.8,0.4,20.1,0.4,14.4,0.3,9.4,0.3,21.3,0.4,0.4,0.1,7.6,0.2,16.5,0.3,2.9,0.1,7.9,0.3,7.6,0.2,1.1,0.1,5.9,0.2,14.3,0.4,18.9,0.3,10,0.3,5.5,0.2,1.4,0.1,844053,8054,1.3,0.1,2.2,0.1,11,0.3,17.7,0.4,18.8,0.4,19.8,0.4,29.2,0.4,52712,469,42639,519,797499,6275,86.3,0.3,99782,1028,21.7,0.3,19051,234,3.8,0.2,9521,224,3,0.2,3696,233,11.7,0.3,26203,1606,13.2,0.3,70505,838,1.5,0.01,1785270,11785,12.1,0.3,18.5,0.4,69.4,0.4,10.4,0.3,14,0.5,10.8,1.2,7.6,0.3,9.7,0.5,7,1.1,23.3,1.2,33.1,1.9,36,6.3,797499,6275,61.2,0.5,38.8,0.5,3.33,0.02,2.8,0.03,3.1,0.2,14,0.3,39.7,0.5,26.4,0.3,16.8,0.3,5.2,0.1,7.2,0.2,10.8,0.3,89.2,0.3,1.3,0.1,23.4,0.5,488187,4519,70.2,0.5,29.8,0.5,309312,5000,56.6,0.8,43.4,0.8
0400000US18,Indiana,365757,4691,41.2,1,58.8,1,365757,4691,10.7,0.5,35.7,0.6,9.7,0.6,0.4,0.1,41.3,0.7,2.2,0.3,51.8,0.5,48.2,0.5,1,0.2,7.2,0.4,10.4,0.4,44.1,0.5,17.4,0.5,10.4,0.3,5.9,0.3,2.6,0.2,1,0.1,39.3,0.3,null,91.7,0.6,32.8,0.9,10.4,0.6,0.5,0.1,32,0.6,0.2,0.1,15.9,0.7,8.3,0.6,38.9,0.7,16.6,0.7,63.1,1,34.5,1.1,3.05,0.04,3.62,0.04,343986,4408,27.3,0.7,59.6,0.8,9.6,0.5,3.4,0.2,68130,2581,1.3,0.4,23.7,1.5,17.9,1.3,57,1.8,297630,3880,26.8,0.9,null,22,0.6,16.1,0.6,17.1,0.7,17.9,0.6,362152,4673,20,0.7,80,0.7,41.1,0.8,341487,4315,69.4,0.7,69.3,0.7,66.5,0.7,2.8,0.3,4,0.4,0.1,0.1,30.6,0.7,227141,3982,85.1,0.7,8.3,0.5,6.3,0.5,0.3,0.1,36.2,1,17,0.8,12.4,0.7,10,0.6,24.4,0.8,0.8,0.2,7.9,0.5,23.8,0.8,2.2,0.3,8.2,0.7,6.3,0.6,1,0.2,3.7,0.4,9.9,0.6,20.8,0.7,9.5,0.6,4.4,0.5,1.4,0.3,164325,3375,1.7,0.3,2.7,0.3,12.3,0.9,20.7,1,21.4,0.8,17.3,0.8,24,1,45414,1432,37059,1072,154453,2653,89.2,0.7,83805,2052,13.3,0.7,19558,641,2.2,0.3,10464,1294,1.5,0.3,3307,599,8.8,0.6,19864,2025,9.1,0.7,56890,1090,1.41,0.02,356861,4750,16.1,0.9,22.8,0.8,61.1,1,14,1,18.7,1.6,18.9,3.7,10.3,1.1,13.4,1.6,15.5,4.3,31.3,3.3,38.9,4.1,32.4,10.9,154453,2653,55.3,1.3,44.7,1.3,3.37,0.06,2.66,0.07,2.4,0.4,14.5,0.8,36.1,0.9,28,1,18.9,0.9,5.3,0.1,6,0.5,6.8,0.6,93.2,0.6,1.6,0.3,23.2,0.9,85409,1941,80.5,1.5,19.5,1.5,69044,2629,60.2,1.8,39.8,1.8
0400000US19,Iowa,173864,3830,42.8,1.1,57.2,1.1,173864,3830,10.4,0.7,36.1,1,15.4,0.9,1.1,0.1,35.3,0.9,1.6,0.3,52.2,0.6,47.8,0.6,0.8,0.2,7.8,0.6,11.6,0.6,45.1,0.8,16.6,0.6,10.4,0.4,4.9,0.3,1.8,0.2,1,0.2,38.1,0.4,null,92.3,0.7,32.7,1.1,15.2,0.9,0.6,0.1,32.4,0.8,0.9,0.2,10.6,0.8,7.7,0.7,33.7,0.8,15.8,0.9,61.6,1.4,36.3,1.5,3.09,0.06,3.7,0.08,163204,3572,29.2,1,57.8,1.2,9.6,0.6,3.5,0.4,35169,1695,2,0.6,23.4,2,17.7,1.5,56.8,2.1,138709,3165,29.7,1.1,null,23.8,1.1,18,0.7,14.8,0.8,13.8,0.8,172453,3808,17.3,0.8,82.7,0.8,48.3,1,161820,3558,72.8,0.9,72.8,0.9,68.9,1,3.9,0.6,5.3,0.8,0,0.1,27.2,0.9,111500,2767,85.6,1.1,9.6,0.9,4.6,0.6,0.2,0.1,30.5,1.2,19.6,0.8,9.8,0.8,10.4,0.8,29.6,1.2,3.6,0.4,6.9,0.6,28.4,1.2,1.3,0.2,8.2,0.7,3.4,0.5,0.8,0.2,5.1,0.6,8.5,0.8,20.5,1,9.1,0.9,3.2,0.4,1,0.2,80365,2434,1.9,0.4,2.4,0.5,10.6,1,21.2,1.4,24.6,1.3,20,1.2,19.4,1.3,46485,1346,35743,1313,71400,1925,90.6,0.8,80946,2888,10.9,0.8,17267,818,2.7,0.4,8958,782,2.7,0.5,3534,1351,6.8,0.8,25034,6241,14.7,1.2,58036,2675,1.48,0.03,170346,3880,16.1,1.2,23.2,1.5,60.6,1.6,14.4,1.4,17.6,1.9,18.9,4.1,10.2,1.4,11.7,2,12.3,3.7,31.5,3.5,38.3,4.3,56.2,15.1,71400,1925,51,1.6,49,1.6,3.44,0.08,2.72,0.08,3.2,0.6,16.8,1.3,42.4,1.6,24.4,1.3,13.1,1,4.8,0.2,9.3,0.9,9.5,0.9,90.5,0.9,1.7,0.4,29.3,1.5,36426,1533,80.8,1.8,19.2,1.8,34974,1489,64.8,2.7,35.2,2.7
0400000US20,Kansas,205076,3686,42.3,1.1,57.7,1.1,205075,3686,6.9,0.5,32.1,0.7,6.5,0.5,0.7,0.1,52.3,0.7,1.5,0.2,51.2,0.7,48.8,0.7,0.7,0.1,6.3,0.5,8.8,0.4,42.6,0.6,19.7,0.5,12.5,0.5,6.1,0.4,2.3,0.2,1,0.2,41.6,0.3,null,91.4,0.6,38.1,1,6.6,0.6,0.7,0.2,28.2,0.6,0.4,0.1,17.4,0.9,8.6,0.6,50.2,0.7,13,0.7,66.6,1.4,32,1.3,3.21,0.05,3.73,0.06,195322,3390,23.4,0.8,62.9,1.2,10.5,0.7,3.2,0.3,32042,1691,1.2,0.4,23.6,1.7,21.6,1.8,53.6,2.6,172603,2869,32.8,1,null,21.3,0.9,16.9,0.8,14.3,0.6,14.7,0.7,203648,3601,14.6,0.8,85.4,0.8,49.8,0.9,193880,3338,71.8,0.7,71.3,0.8,68.6,0.9,2.6,0.2,3.7,0.4,0.5,0.1,28.2,0.7,133068,2720,83.3,0.8,9.9,0.7,6.6,0.6,0.2,0.1,29.4,1,19.7,0.9,10.8,0.7,16.1,0.8,23.9,1,3.8,0.4,12,0.8,20.1,1,2.1,0.3,7.5,0.6,4.6,0.5,1.2,0.2,3.3,0.4,11.5,0.7,17.6,0.8,10.1,0.7,4.1,0.4,2,0.3,100221,2290,1.5,0.3,2.8,0.4,13.3,0.9,21.2,1.1,23.8,1.2,17.3,1,20,0.9,44394,780,34999,1332,86255,2140,90.9,0.9,81954,2225,13.8,0.9,18270,772,2.1,0.4,9237,819,1.5,0.3,3797,818,10.1,1,24878,3649,7.4,0.7,58936,1585,1.55,0.03,201908,3656,15,0.9,22.7,1,62.3,1,13.3,1,17.4,1.5,16.9,4.1,9.1,1.1,12.2,1.6,13.1,5.2,35.2,4,40.1,4.2,35,13.8,86255,2140,58.6,1.4,41.4,1.4,3.48,0.08,2.82,0.09,2.4,0.4,12.4,1.2,40.1,1.3,27.1,1.1,18,0.9,5.3,0.1,8.1,0.8,5.5,0.8,94.5,0.8,1.5,0.4,27.3,1.2,50583,1458,80,1.1,20,1.1,35672,1679,61.7,2.1,38.3,2.1
0400000US21,Kentucky,181844,4042,41.1,1.3,58.9,1.3,181844,4042,13.3,0.8,34,0.8,12.2,1.1,0.8,0.2,37.3,1,2.4,0.4,51.8,0.7,48.2,0.7,1.1,0.3,9.9,0.6,10.1,0.6,42.6,0.9,16.9,0.6,10.2,0.5,5.7,0.4,2.3,0.3,1.1,0.2,38.8,0.4,null,90.3,0.8,37.5,1.4,13.4,1.1,0.5,0.2,27.4,0.8,0.6,0.1,10.9,0.8,9.7,0.8,34.6,0.9,21.9,1.1,61.2,1.5,36.4,1.4,3.06,0.05,3.6,0.06,167502,3638,27.9,1.1,57.7,1.2,10.4,0.7,4,0.4,34125,1711,2.3,0.6,30.6,1.9,23.7,1.9,43.5,1.9,143431,3207,23.4,1.2,null,24.2,0.9,17.7,0.8,18.2,0.8,16.5,0.9,179787,3914,18.9,0.9,81.1,0.9,44.7,1.2,165104,3571,69.8,1,69.5,1,66.6,1.1,2.8,0.3,4.1,0.5,0.4,0.1,30.2,1,110001,2613,85.3,1,7.7,0.7,6.7,0.7,0.3,0.2,31.6,1.3,18,1,14.3,1,10.2,0.8,25.9,1.3,3.1,0.5,7.7,0.7,19.1,1,2,0.4,10.7,0.9,8.3,0.9,1,0.3,3.2,0.4,9.5,0.6,18.1,1.1,10.8,0.9,5.1,0.6,1.4,0.2,77736,2462,2.1,0.5,3.3,0.6,13.7,1.3,22.5,1.4,20.3,1.4,17.5,1.2,20.7,1.2,41853,1470,35959,1565,73477,1728,90,0.8,81909,2989,13.7,1,18595,835,3.3,0.5,9622,752,1.6,0.3,4264,1066,9.9,1,32101,7997,13.1,1.1,54931,1938,1.41,0.03,177718,3935,18,1.2,23.4,1.3,58.6,1.6,16.5,1.5,22.7,2.1,21.1,4.3,11,1.4,15.3,2.2,11.5,3.4,34.5,4.6,41.6,5.8,45.7,11.9,73477,1728,44.5,1.6,55.5,1.6,3.26,0.07,2.89,0.07,2.5,0.4,14.5,1.1,43.3,1.4,24.5,1.3,15.3,0.9,5,0.1,9.2,0.9,7.3,0.7,92.7,0.7,2,0.4,29.8,1.6,32699,1340,78.9,1.6,21.1,1.6,40778,1592,60.9,2,39.1,2
0400000US22,Louisiana,196020,4092,41.7,1.1,58.3,1.1,196020,4092,8.2,0.6,31.7,0.9,4.4,0.7,0.3,0.1,53.9,1.1,1.5,0.3,51.3,0.9,48.7,0.9,0.9,0.2,7.5,0.7,7.7,0.4,40.3,0.9,17,0.7,13.2,0.6,8.1,0.4,3.5,0.3,1.8,0.3,41.5,0.6,null,88.9,0.9,36.2,1.2,7.3,0.7,0.9,0.3,26,0.7,0.1,0.1,18.4,1.3,11.1,0.9,48.3,1.2,16.7,0.9,58.2,1.3,38.8,1.3,3.01,0.07,3.65,0.08,183713,3549,27.7,1,57.5,1.1,9.7,0.6,5.1,0.4,28980,1903,1.9,0.7,32.2,2.6,19.6,2,46.3,2.8,164255,3115,26.2,1,null,26.1,1,18.5,1,15.4,0.8,13.7,0.8,194186,4007,17.8,0.8,82.2,0.8,47.9,1,182677,3492,64.1,1,63.7,1,60.4,1,3.4,0.4,5.3,0.6,0.4,0.1,35.9,1,110265,2758,77,1.1,9.3,0.8,13.5,0.9,0.2,0.1,31.7,1.4,21.7,1.3,12.4,1.1,24,1.1,10.2,0.8,3.1,0.4,21.1,1.2,5.9,0.6,1.9,0.4,10,1,4.5,0.7,0.9,0.3,2.7,0.4,9.9,0.8,19,1.2,11.1,1,7.9,0.7,2.1,0.4,78703,2303,2.4,0.5,4.6,0.7,16.9,1.4,19.4,1.3,16.5,1.1,18.4,1.4,21.8,1.3,42970,1745,34378,2107,79191,2084,86.5,1.1,81753,3577,17.9,1,16944,707,2.8,0.5,10309,849,1.5,0.3,3851,1226,9.3,0.8,24079,2715,10.7,0.8,52092,1334,1.38,0.03,190053,4066,20.6,1.2,23.2,1.3,56.3,1.3,20.5,1.7,29,2.5,27,5.4,15.1,1.6,20.8,2.5,19.6,6.3,40.9,4.9,55.6,5.6,60.6,10.8,79191,2084,50,1.5,50,1.5,3.16,0.09,2.85,0.1,2.7,0.6,14.6,1.1,42.4,1.7,28.2,1.5,12.1,0.8,5,0.1,7.1,0.8,8.7,1,91.3,1,1.6,0.4,30.6,1.5,39600,1485,78.5,1.8,21.5,1.8,39591,1690,56.4,2.3,43.6,2.3
0400000US23,Maine,49303,1582,54.8,2.2,45.2,2.2,49303,1582,24.4,1.6,26.6,1.5,17.5,1.3,1.1,0.4,11.1,1,19.3,1.5,44.4,1.2,55.6,1.2,1,0.4,8,0.9,8.6,0.8,29.3,1.7,16.1,1.3,14.7,1.2,11.9,1.1,7.2,0.8,3.2,0.5,46.7,1.1,null,95.1,1.1,51.7,1.6,19,1.3,0.3,0.1,20.7,1.2,0.1,0.1,3.4,0.7,4.9,1.1,8.9,0.9,48.2,1.6,62.3,2.2,33.7,2.3,2.47,0.07,3.09,0.08,46482,1499,22.8,1.5,57.5,2,12.5,1.3,7.2,1,8858,749,0.8,0.5,22.1,3,21.7,3,55.4,3.7,40596,1386,14.3,1.2,null,22,1.6,23,1.4,20.9,1.5,19.7,1.8,48807,1554,41.9,1.7,58.1,1.7,23.1,1.4,46136,1495,62,2,61.7,2,59.6,2.1,2.1,0.4,3.5,0.7,0.3,0.2,38,2,27477,1441,81.8,2.2,10.4,1.4,7.6,1.6,0.1,0.1,43.8,2.6,21.1,1.9,15.3,1.5,6.6,1.2,13.1,2,1.8,0.6,4.8,1.1,9.8,1.5,1.5,0.6,9.6,1.5,4.4,0.9,0.9,0.4,6.3,1.4,11.9,1.5,32.1,2.2,9.9,1.6,4.2,0.8,2.6,0.7,18688,1108,1.7,0.7,2.2,0.9,10.5,1.7,17.4,2.2,19.4,2.2,23.3,2.4,25.4,3.4,54075,3042,42983,1829,20714,946,74.3,2.4,99450,7729,32.4,2.5,19766,960,6.5,1.4,10298,1000,4,1,3883,1349,20.5,2.4,25641,3122,15.9,2.2,59942,5857,1.17,0.06,47469,1577,13,1.5,18.1,1.9,68.9,2,9.4,1.7,11.4,2.8,7,5,5.6,1.7,6.7,2.9,5.7,5.7,22.2,6,26.7,7.8,14.3,16.8,20714,946,59.4,2.7,40.6,2.7,2.46,0.09,2.48,0.11,2.7,0.9,16,2,36.6,2.5,28.2,2.1,16.5,2,5.3,0.2,4.2,1.1,10.8,1.9,89.2,1.9,1.5,0.6,14.9,1.8,12306,841,74.4,2.7,25.6,2.7,8408,644,58.3,4.4,41.7,4.4
